Name,Latitude,Longitude,Address,Phone,Website,Image,Ranking,Description,Category1,Category2,City
Miniatures Museum of Taiwan,25.050295,25.050295,"B1 , No.96 , Sec.1 ,JianGuo N. Rd, Taipei 10489 Taiwan",+886 2 2515 0583,http://www.mmot.com.tw/,https://media-cdn.tripadvisor.com/media/photo-f/14/3f/25/55/british-royal-parade.jpg,#32 of 668 things to do in Taipei,"The Miniatures Museum contains first-rate artwork produced by renowned artists from around the world. World-class in scale, the museum contains approximately 200 hundred assembled and ornamented works of art, including delightfully creative pieces such as architecturally-accurate dollhouses with full interior and exterior décor along with a diverse set of dreamy, exquisitely designed roomboxes.",['Museums'],['Specialty Museums'],taipei
Chiang Kai-Shek Memorial Hall,25.03499,25.03499,"21 Chung-Shan S Rd, Taipei 1004 Taiwan",+886 2 2343 1100,http://www.cksmh.gov.tw,https://media-cdn.tripadvisor.com/media/photo-f/13/ea/43/8e/nationale-chiang-kai.jpg,#12 of 668 things to do in Taipei,Sixty-two landscaped acres of gardens and walkways surround this marble and tile landmark building.,['Sights & Landmarks'],"['Points of Interest & Landmarks', 'Monuments & Statues']",taipei
Elephant Mountain (aka Nangang District Hiking Trail),25.027018,25.027018,"Lane 150, Songren Rd., Taipei Taiwan",09063359497,http://www.hiking.taipei/ct.asp,https://media-cdn.tripadvisor.com/media/photo-s/0d/2b/db/f1/caption.jpg,#2 of 668 things to do in Taipei,,['Sights & Landmarks'],['Points of Interest & Landmarks'],taipei
Dalongdong Bao An Temple,25.0731,25.0731,"No.61 Hami Street, Taipei 103 Taiwan",+886 2 2595 1676,http://www.baoan.org.tw/ENGLISH/index.html,https://media-cdn.tripadvisor.com/media/photo-f/0b/fe/33/3f/baoan-temple-on-a-quiet.jpg,#6 of 668 things to do in Taipei,"dedicated to Paosheng Tati, the God of Medicine",['Sights & Landmarks'],"['Architectural Buildings', 'Sacred & Religious Sites', 'Historic Sites']",taipei
Longshan Temple,25.03677,25.03677,"No.211 Guangzhou Street Wanhua District, Taipei 10853 Taiwan",+886 2 2302 5162,http://www.lungshan.org.tw,https://media-cdn.tripadvisor.com/media/photo-s/10/bb/23/0d/photo2jpg.jpg,#20 of 668 things to do in Taipei,"Many festivals and celebrations are held in Lungshan, often called ""meeting place of the gods"" for the wealth of deities worshipped here. Lungshan means ""Dragon Mountain.""",['Sights & Landmarks'],['Sacred & Religious Sites'],taipei
Daan Forest Park,25.02577,25.02577,"Xinsheng South Road, Daan District, Taipei Taiwan",+886 2 2700 3830,http://selection6.blogspot.com/2018/09/blog-post_78.html,https://media-cdn.tripadvisor.com/media/photo-f/0e/6c/37/e4/photo1jpg.jpg,#9 of 668 things to do in Taipei,"Taipei's version of New York City's Central Park, this park is 26 hectares, the size of three major league baseball fields. Take a walk around the ecological pond, enjoy a meal",['Nature & Parks'],['Parks'],taipei
National Palace Museum,25.101814,25.101814,"No.221, Sec.2, Zhishan Rd, Shilin Dist, Taipei 11143 Taiwan",+886 2 2881 2021,http://www.npm.gov.tw/en,https://media-cdn.tripadvisor.com/media/photo-f/16/cd/db/0b/photo0jpg.jpg,#18 of 668 things to do in Taipei,"This extraordinary collection of historic art treasures, fascinating for its depth and breadth, has miraculously escaped destruction over hundreds of years. Some pieces date back to the tenth century.",['Museums'],"['Specialty Museums', 'History Museums']",taipei
Yangmingshan National Park,25.15553,25.15553,"Jhuzihhu Rd, Beitou District, Taipei 112 Taiwan",+886 2 2861 3601,http://www.ymsnp.gov.tw,https://media-cdn.tripadvisor.com/media/photo-s/05/82/4e/74/caption.jpg,#8 of 668 things to do in Taipei,Embrace nature and flower gardens with a picnic or leisurely hike up the rolling hillsides of Yangmingshan. The park is accessible by public bus.,['Nature & Parks'],"['Gardens', 'National Parks', 'Mountains']",taipei
National Revolutionary Martyrs' Shrine,25.0786,25.0786,"No.139 Bei'an Road, Taipei 111 Taiwan",+886 2 2885 4162,http://afrc.mnd.gov.tw/faith_martyr/Chinese/information.aspx,https://media-cdn.tripadvisor.com/media/photo-f/0e/58/a5/67/shrine.jpg,#28 of 668 things to do in Taipei,This majestic shrine honors the Republic of China's war dead. Marvel at the soldiers' precision at the changing of the guard ceremony that occurs every hour.,['Museums'],['History Museums'],taipei
Taipei Confucius Temple,25.07186,25.07186,"275 Dalong Street, Datong District, Taipei Taiwan",+886 2 2592 3934,http://www.ct.taipei.gov.tw/zh-tw/home.htm,https://media-cdn.tripadvisor.com/media/photo-f/13/db/62/9d/konfuziustempel-teipeh.jpg,#27 of 668 things to do in Taipei,,['Sights & Landmarks'],['Historic Sites'],taipei
