Departure Date,Arrival Date,Departure Time,Arrival Time,Duration,Type of Flight,Price,Airline,Departure AirportArrival Airport,Departure Airport,Arrival Airport
2020-08-01,2020-08-01,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-01,2020-08-01,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-01,2020-08-01,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-01,2020-08-01,06:30:00,08:00:00,2H30M,direct,323.60,SCOOT,,SIN,BKK
2020-08-01,2020-08-01,08:20:00,09:50:00,2H30M,direct,323.60,SCOOT,,SIN,BKK
2020-08-02,2020-08-02,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-02,2020-08-02,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-02,2020-08-02,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-02,2020-08-02,20:40:00,22:05:00,2H25M,direct,303.60,SCOOT,,SIN,DMK
2020-08-02,2020-08-02,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-03,2020-08-03,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-03,2020-08-03,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-03,2020-08-03,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-03,2020-08-03,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-03,2020-08-03,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-04,2020-08-04,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-04,2020-08-04,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-04,2020-08-04,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-04,2020-08-04,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-04,2020-08-04,08:20:00,09:50:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-05,2020-08-05,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-05,2020-08-05,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-05,2020-08-05,22:20:00,23:45:00,2H25M,direct,283.60,SCOOT,,SIN,DMK
2020-08-05,2020-08-05,20:40:00,22:05:00,2H25M,direct,303.60,SCOOT,,SIN,DMK
2020-08-05,2020-08-05,06:30:00,08:00:00,2H30M,direct,303.60,SCOOT,,SIN,BKK
2020-08-06,2020-08-06,12:55:00,14:25:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-06,2020-08-06,20:30:00,22:00:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-06,2020-08-06,22:20:00,23:45:00,2H25M,direct,323.60,SCOOT,,SIN,DMK
2020-08-06,2020-08-06,07:20:00,08:45:00,2H25M,direct,327.60,JETSTAR ASIA,,SIN,BKK
2020-08-06,2020-08-06,10:45:00,12:10:00,2H25M,direct,327.60,JETSTAR ASIA,,SIN,BKK
2020-08-07,2020-08-07,12:20:00,13:50:00,2H30M,direct,201.80,THAI LION AIR,,SIN,DMK
2020-08-07,2020-08-07,20:30:00,22:00:00,2H30M,direct,257.80,THAI LION AIR,,SIN,DMK
2020-08-07,2020-08-07,06:30:00,08:00:00,2H30M,direct,385.60,SCOOT,,SIN,BKK
2020-08-07,2020-08-07,17:55:00,19:25:00,2H30M,direct,385.60,SCOOT,,SIN,BKK
