Hotel,Check In Date,Check Out Date,Category,Number of Beds,Bed Type,Price,City
Novotel Bangkok Silom Road,2020-08-01,2020-08-02,SUPERIOR_ROOM,2,SINGLE,63.22015165,BKK
Novotel Bangkok Silom Road,2020-08-02,2020-08-03,SUPERIOR_ROOM,2,SINGLE,63.22015165,BKK
Novotel Bangkok Silom Road,2020-08-03,2020-08-04,SUPERIOR_ROOM,2,SINGLE,63.22015165,BKK
Novotel Bangkok Silom Road,2020-08-04,2020-08-05,SUPERIOR_ROOM,2,SINGLE,63.22015165,BKK
Novotel Bangkok Silom Road,2020-08-05,2020-08-06,SUPERIOR_ROOM,2,SINGLE,63.22015165,BKK
Novotel Bangkok Silom Road,2020-08-06,2020-08-07,SUPERIOR_ROOM,2,SINGLE,78.09548145,BKK
Novotel Bangkok Silom Road,2020-08-07,2020-08-08,SUPERIOR_ROOM,1,KING,63.22015165,BKK
Novotel Bangkok on Siam Square,2020-08-08,2020-08-09,SUPERIOR_ROOM,2,SINGLE,125.5652839,BKK
Novotel Bangkok on Siam Square,2020-08-09,2020-08-10,SUPERIOR_ROOM,2,SINGLE,153.128395,BKK
Novotel Bangkok Silom Road,2020-08-10,2020-08-11,SUPERIOR_ROOM,1,KING,63.22015165,BKK
amba TAIPEI XIMENDING,2020-08-01,2020-08-02,STANDARD_ROOM,1,QUEEN,137.60842200000002,TPE
amba TAIPEI XIMENDING,2020-08-02,2020-08-03,ACCESSIBLE_ROOM,2,TWIN,132.863304,TPE
CITY SUITES,2020-08-03,2020-08-04,STANDARD_ROOM,1,QUEEN,106.76515500000001,TPE
amba TAIPEI XIMENDING,2020-08-04,2020-08-05,STANDARD_ROOM,1,QUEEN,118.62795000000001,TPE
amba TAIPEI XIMENDING,2020-08-05,2020-08-06,STANDARD_ROOM,1,QUEEN,118.62795000000001,TPE
amba TAIPEI XIMENDING,2020-08-06,2020-08-07,STANDARD_ROOM,1,QUEEN,118.62795000000001,TPE
amba TAIPEI XIMENDING,2020-08-07,2020-08-08,STANDARD_ROOM,1,QUEEN,137.60842200000002,TPE
amba TAIPEI XIMENDING,2020-08-08,2020-08-09,STANDARD_ROOM,1,QUEEN,137.60842200000002,TPE
amba TAIPEI XIMENDING,2020-08-09,2020-08-10,STANDARD_ROOM,1,QUEEN,118.62795000000001,TPE
amba TAIPEI XIMENDING,2020-08-10,2020-08-11,STANDARD_ROOM,1,QUEEN,118.62795000000001,TPE
Shangri La Tokyo,2020-08-01,2020-08-02,DELUXE_ROOM,2,TWIN,795.0294,TYO
Shangri La Tokyo,2020-08-02,2020-08-03,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-03,2020-08-04,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-04,2020-08-05,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-05,2020-08-06,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-06,2020-08-07,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-07,2020-08-08,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-08,2020-08-09,DELUXE_ROOM,2,TWIN,795.0294,TYO
Shangri La Tokyo,2020-08-09,2020-08-10,DELUXE_ROOM,2,TWIN,715.52646,TYO
Shangri La Tokyo,2020-08-10,2020-08-11,DELUXE_ROOM,2,TWIN,715.52646,TYO
Lotte City Hotel Guro,2020-08-01,2020-08-02,STANDARD_ROOM,2,SINGLE,118.74126,ICN
Novotel Ambassador Seoul Doksan,2020-08-02,2020-08-03,SUPERIOR_ROOM,2,SINGLE,149.00863999999999,ICN
Novotel Ambassador Seoul Doksan,2020-08-03,2020-08-04,SUPERIOR_ROOM,2,SINGLE,149.00863999999999,ICN
Lotte City Hotel Guro,2020-08-04,2020-08-05,STANDARD_ROOM,2,SINGLE,98.95105,ICN
Novotel Ambassador Seoul Gangnam,2020-08-05,2020-08-06,STANDARD_ROOM,2,SINGLE,196.9125895,ICN
Novotel Ambassador Suwon,2020-08-06,2020-08-07,SUPERIOR_ROOM,2,SINGLE,209.5434,ICN
Novotel Ambassador Seoul Gangnam,2020-08-07,2020-08-08,STANDARD_ROOM,2,SINGLE,167.2272745,ICN
Lotte City Hotel Guro,2020-08-08,2020-08-09,STANDARD_ROOM,2,SINGLE,118.74126,ICN
Novotel Ambassador Seoul Gangnam,2020-08-09,2020-08-10,STANDARD_ROOM,2,SINGLE,186.9010715,ICN
Novotel Ambassador Seoul Doksan,2020-08-10,2020-08-11,SUPERIOR_ROOM,2,SINGLE,149.00863999999999,ICN
