Hotel,Check In Date,Check Out Date,Category,Number of Beds,Bed Type,Price,Location
The Fullerton Hotel Singapore,1/8/2020,2/8/2020,SUPERIOR_ROOM,1,KING,330,SIN
The Fullerton Hotel Singapore,2/8/2020,3/8/2020,SUPERIOR_ROOM,1,KING,330,SIN
The Fullerton Hotel Singapore,3/8/2020,4/8/2020,SUPERIOR_ROOM,1,KING,407,SIN
The Fullerton Hotel Singapore,4/8/2020,5/8/2020,SUPERIOR_ROOM,1,KING,357,SIN
The Fullerton Hotel Singapore,5/8/2020,6/8/2020,SUPERIOR_ROOM,1,KING,374,SIN
The Fullerton Hotel Singapore,6/8/2020,7/8/2020,SUPERIOR_ROOM,1,KING,408,SIN
The Fullerton Hotel Singapore,7/8/2020,8/8/2020,SUPERIOR_ROOM,1,KING,408,SIN
The Fullerton Hotel Singapore,8/8/2020,9/8/2020,SUPERIOR_ROOM,1,KING,408,SIN
The Fullerton Hotel Singapore,9/8/2020,10/8/2020,SUPERIOR_ROOM,1,KING,493,SIN
The Fullerton Hotel Singapore,10/8/2020,11/8/2020,SUPERIOR_ROOM,1,KING,382.5,SIN
Novotel Bangkok Silom Road,1/8/2020,2/8/2020,SUPERIOR_ROOM,2,SINGLE,241,NRT
Novotel Bangkok Silom Road,2/8/2020,3/8/2020,SUPERIOR_ROOM,2,SINGLE,241,NRT
Novotel Bangkok Silom Road,3/8/2020,4/8/2020,SUPERIOR_ROOM,2,SINGLE,241,NRT
Novotel Bangkok Silom Road,4/8/2020,5/8/2020,SUPERIOR_ROOM,2,SINGLE,241,NRT
Novotel Bangkok Silom Road,5/8/2020,6/8/2020,SUPERIOR_ROOM,2,SINGLE,241,NRT
Novotel Bangkok Silom Road,6/8/2020,7/8/2020,SUPERIOR_ROOM,2,SINGLE,298,NRT
Novotel Bangkok Silom Road,7/8/2020,8/8/2020,SUPERIOR_ROOM,1,KING,241,NRT
Novotel Bangkok on Siam Square,8/8/2020,9/8/2020,SUPERIOR_ROOM,2,SINGLE,478,NRT
Novotel Bangkok on Siam Square,9/8/2020,10/8/2020,SUPERIOR_ROOM,2,SINGLE,583,NRT
Novotel Bangkok Silom Road,10/8/2020,11/8/2020,SUPERIOR_ROOM,1,KING,241,NRT
amba TAIPEI XIMENDING,1/8/2020,2/8/2020,STANDARD_ROOM,1,QUEEN,322,ICN
amba TAIPEI XIMENDING,2/8/2020,3/8/2020,ACCESSIBLE_ROOM,2,TWIN,311,ICN
CITY SUITES,3/8/2020,4/8/2020,STANDARD_ROOM,1,QUEEN,250,ICN
amba TAIPEI XIMENDING,4/8/2020,5/8/2020,STANDARD_ROOM,1,QUEEN,278,ICN
amba TAIPEI XIMENDING,5/8/2020,6/8/2020,STANDARD_ROOM,1,QUEEN,278,ICN
amba TAIPEI XIMENDING,6/8/2020,7/8/2020,STANDARD_ROOM,1,QUEEN,278,ICN
amba TAIPEI XIMENDING,7/8/2020,8/8/2020,STANDARD_ROOM,1,QUEEN,322,ICN
amba TAIPEI XIMENDING,8/8/2020,9/8/2020,STANDARD_ROOM,1,QUEEN,322,ICN
amba TAIPEI XIMENDING,9/8/2020,10/8/2020,STANDARD_ROOM,1,QUEEN,278,ICN
amba TAIPEI XIMENDING,10/8/2020,11/8/2020,STANDARD_ROOM,1,QUEEN,278,ICN
Shangri La Tokyo,1/8/2020,2/8/2020,DELUXE_ROOM,2,TWIN,600,TPE
Shangri La Tokyo,2/8/2020,3/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,3/8/2020,4/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,4/8/2020,5/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,5/8/2020,6/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,6/8/2020,7/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,7/8/2020,8/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,8/8/2020,9/8/2020,DELUXE_ROOM,2,TWIN,600,TPE
Shangri La Tokyo,9/8/2020,10/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Shangri La Tokyo,10/8/2020,11/8/2020,DELUXE_ROOM,2,TWIN,540,TPE
Lotte City Hotel Guro,1/8/2020,2/8/2020,STANDARD_ROOM,2,SINGLE,102000,
Novotel Ambassador Seoul Doksan,2/8/2020,3/8/2020,SUPERIOR_ROOM,2,TWIN,128000,
Novotel Ambassador Seoul Doksan,3/8/2020,4/8/2020,SUPERIOR_ROOM,2,TWIN,128000,
Lotte City Hotel Guro,4/8/2020,5/8/2020,STANDARD_ROOM,2,SINGLE,85000,
Novotel Ambassador Seoul Gangnam,5/8/2020,6/8/2020,STANDARD_ROOM,2,SINGLE,169150,
Novotel Ambassador Suwon,6/8/2020,7/8/2020,SUPERIOR_ROOM,2,SINGLE,180000,
Novotel Ambassador Seoul Gangnam,7/8/2020,8/8/2020,STANDARD_ROOM,2,SINGLE,143650,
Lotte City Hotel Guro,8/8/2020,9/8/2020,STANDARD_ROOM,2,SINGLE,102000,
Novotel Ambassador Seoul Gangnam,9/8/2020,10/8/2020,STANDARD_ROOM,2,SINGLE,160550,
Novotel Ambassador Seoul Doksan,10/8/2020,11/8/2020,SUPERIOR_ROOM,2,TWIN,128000,
